measureID,shortName,fullName,commonNameEN,commonNameFR,descriptionEN,descriptionFR,status,firstReleased,lastUpdated,domainID,MeasureGroupID,measureClassID,measurePart,analytePartNomenclature
1,wqCOD,To be procedurally generated,COD,DCO,Chemical oxygen demand,Demande biochimique en oxygène,active,2.0,2.0,chemical,Wastewater,stdConcentration,COD,
2,wqEcoli,To be procedurally generated,Faecal Coliforms,Coliformes fécaux,"Concentration of bacteria that are passed through the faecal excrement of humans, livestock and wildlife",Concentrations de bactéries indicatrices de contamination fécale par les humains et les animaux.,active,2.0,2.0,biologic,EColi,ufcConcentration,Faecal coliforms,
3,covB117,To be procedurally generated,SARS-CoV-2-B.1.1.7,SARS-CoV-2-B.1.1.7,Variant B.1.1.7 of the SARS-CoV-2 virus,Variant B.1.1.7 du virus SARS-CoV-2,active,2.0,2.0,biologic,SARS-CoV-2,speciesVariant,B1.1.7,Pangolin
4,covB1351,To be procedurally generated,SARS-CoV-2-B.1.351,SARS-CoV-2-B.1.351,Variant B.1.351 of the SARS-CoV-2 virus,Variant B.1.351 du virus SARS-CoV-2,active,2.0,2.0,biologic,SARS-CoV-2,speciesVariant,B1.351,Pangolin
5,covP1,To be procedurally generated,SARS-CoV-2-P.1,SARS-CoV-2-P.1,Variant P.1 of the SARS-CoV-2 virus,Variant P.1 du virus SARS-CoV-2,active,2.0,2.0,biologic,SARS-CoV-2,speciesVariant,P.1,Pangolin
7,wqFlow,To be procedurally generated,Flow rate,Débit,Measurement of the flow of mass or volume per unit of time,Mesure de l’écoulement de masse ou de volume par unité de temps,active,2.0,2.0,physical,Wastewater,flow,flow,
8,covN1,To be procedurally generated,SARS-CoV-2-N1,SARS-CoV-2-N1,"SARS-CoV-2 nucleocapsid gene, allele 1",Allèle 1 du gène exprimant la protéine nucléocapside du SARS-CoV-2,active,2.0,2.0,biologic,SARS-CoV-2,allele,N1,
9,covN2,To be procedurally generated,SARS-CoV-2-N2,SARS-CoV-2-N2,"SARS-CoV-2 nucleocapsid gene, allele 2",Allèle 2 du gène exprimant la protéine nucléocapside du SARS-CoV-2,active,2.0,2.0,biologic,SARS-CoV-2,allele,N2,
10,covN3,To be procedurally generated,SARS-CoV-2-N3,SARS-CoV-2-N3,"SARS-CoV-2 nucleocapsid gene, allele 3",Allèle 3 du gène exprimant la protéine nucléocapside du SARS-CoV-2,active,2.0,2.0,biologic,SARS-CoV-2,allele,N3,
11,covE,To be procedurally generated,SARS-CoV-2-E,SARS-CoV-2-E,SARS-CoV-2 E gene,Région E du génome du SARS-CoV-2,active,2.0,2.0,biologic,SARS-CoV-2,allele,E,
12,covRdrp,To be procedurally generated,SARS-CoV-2-RdRp,SARS-CoV-2-RdRp,SARS-CoV-2 RdRp gene,Région RdRp du génome du SARS-CoV-2,active,2.0,2.0,biologic,SARS-CoV-2,allele,RdRp,
13,pmmv,To be procedurally generated,PMMoV-CP,PMMoV-CP,Pepper mild mottle virus capsid protein gene region,Région de la protéine du capside du virus de la marbrure légère du piment,active,2.0,2.0,biologic,PMMoV,allele,N,
14,crA,To be procedurally generated,crAssphage-N,crAssphage-N,crAssphage virus capsid protein gene region,Région de la protéine du capside du virus crAssPhage,active,2.0,2.0,biologic,crAssphage,allele,N,
15,brsvN,To be procedurally generated,BRSV-N,BRSV-N,bovine respiratory syncytial virus capsid protein gene region,Région de la protéine du capside du virus respiratoire syncytial bovin,active,2.0,2.0,biologic,BRSV,allele,N,
16,wqTS,To be procedurally generated,Total Solids,Solides Totaux,Total solids concentration,Solides Totaux,active,2.0,2.0,chemical,Wastewater,stdConcentration,TS,
17,wqTSS,To be procedurally generated,Total Suspended Solids,Matières en Suspension,Total suspended solids,Matières en Suspension,active,2.0,2.0,chemical,Wastewater,stdConcentration,TSS,
18,wqVSS,To be procedurally generated,Volatile Suspended Solids,Matières volatiles en suspension,Volatile suspended solids,Matières volatiles en suspension,active,2.0,2.0,chemical,Wastewater,stdConcentration,VSS,
19,wqOPhos,To be procedurally generated,Orthophosphates,Orthophosphates,Ortho-phosphate concentration.,Orthophosphates,active,2.0,2.0,chemical,Wastewater,stdConcentration,OPhos,
20,wqNH4N,To be procedurally generated,Ammonium Nitrogen,Azote Ammoniacal,"Ammonium nitrogen concentration, as N.",Azote Ammoniacal,active,2.0,2.0,chemical,Wastewater,stdConcentration,NH4N,
21,wqTN,To be procedurally generated,Total Nitrogen,Azote total,"Total nitrogen concentration, as N.",Azote total,active,2.0,2.0,chemical,Wastewater,stdConcentration,TN,
22,wqPh,To be procedurally generated,pH,pH,pH measurement,pH,active,2.0,2.0,chemical,Wastewater,pHMeasurement,pH,
23,wqCond,To be procedurally generated,Conductiivty,Conductivité,measurement of conductivity of sample,Conductivité,active,2.0,2.0,physical,Wastewater,Conductivity,Cond,
24,wqTemp,To be procedurally generated,Temperature,Water Temperature,Temperature of the sample measured in degrees Celcius,Water Temperature,active,2.0,2.0,physical,Wastewater,Temperature,temp,
